participant,story,schema,1,2,3,4,5,6,7,8
030119_p1,14,Location,2,2,2,2,1,2,2,2
030419_p1,14,Social,0,1,0,2,2,2,2,2
030319_p3,14,Social,,,,,,,,
030519_p1,14,Social,0,1,0,0,1,2,1,2
030719_p1,14,Social,0,1,0,0,2,2,1,2
030719_p3,14,Location,1,2,2,2,2,2,1,2
031219_p1,14,Location,,,,,,2,2,2
031319_p4,14,Social,0,0,0,0,2,1,2,2
031519_p1,14,Location,1,2,2,2,0,2,2,2
