participant,story,schema,1,2,3,4,5,6,7,8
050119_p1,43,Social,Lrgebracketright,Bread,16,50 bucks. they use cash,A drinkquestion,Did it hurt whenyou fell from heaven,Dinner,5
050419_p1,43,Location,"There are tall, black ceilings and industrial lights",Meats and vegetables for a barbeque,Several are open,The groceries are 53 dollars and simon pays by credit card,Basket,"'that meat is pretty cute, huh'",For a meal at harvard square on the weekend,Noon
