date,prolific_id,story,persp,p_type,1,q1,a1,2,q2,a2,3,q3,a3,4,q4,a4,5,q5,a5,6,q6,a6,7,q7,a7,8,q8,a8
2020-06-24,5cf0a300b094d700183e4d54,43,40,2,"""It is like a factory, really cold and steely, sorta a big costco type thing""",,,"""They are in the soups area, and there are chicken toys nearby""",,,"""I dont remember the amount of lanes, but they stepped into number 8""",,,"""The groceries are around 50 dollars and they use credit card""",,,"""A turkey toy """,,,"""Isnt this cuteSLASH""",,,"""To go for dinner on a date""",,,"""It is 4SEMICOLON35""",,
2020-06-24,5d02c0e382e4f00001aa20cd,43,40,2,""" boxes piled high""",,,"""fruit am""",,,"""8""",,,"""pays by card but cant remember the price""",,,"""cant remember""",,,"""she asked a funny question about one of the items""",,,"""dinner""",,,"""cant remember""",,
2020-06-24,5eb2e03e93516108a92d3d96,43,3,0,""" like a huge warehouse""",,,"""lamb ribs and mince""",,,"""1 is open. number 7""",,,"""52 dollars. he paid off his credit card""",,,"""chicken""",,,"""isnt this cute""",,,"""tomorrow night for a date""",,,"""4.30pm""",,
2020-06-24,5c12ce5fd3f0d1000108430a ,43,3,0,""" It is a food store , big """,,,"""meat """,,,"""2 checkout lanes , and lane 2 """,,,"""they use card payments""",,,"""a mobile """,,,"""cuts of meat""",,,"""for the barbaque""",,,"""late afternoon""",,
2020-06-24,5b29a5197297750001c75a5b,43,3,1,"""Black warehouse high ceilings with lots of crates of food""",,,"""Ribs and something to do with a vegetable kebab""",,,"""8""",,,"""53 dollars and Simon paid using his credit card""",,,""" Chickens""",,,"""Isnt that chicken cute""",,,"""Saturday night for dinner""",,,"""4:30pm""",,
