date,prolific_id,story,persp,p_type,1,q1,a1,2,q2,a2,3,q3,a3,4,q4,a4,5,q5,a5,6,q6,a6,7,q7,a7,8,q8,a8
2020-06-24,5e9c9ba01243491be8fe4bdf,22,2,0,""" 1 hour """,,,"""because Sven proposed to Isabel in a hurry because he had forgotten that the ring was in his back pocket""",,,"""Gates C6""",,,"""First Class seats C3 and C2""",,,"""10 years""",,,"""2 Diamonds and they were silver""",,,"""Inside of a pocket sized wedding ring box""",,,"""Her best friend """,,
2020-06-24,5eda9f7c460b766ded73bdb7,22,2,0,""" 2 hours""",,,"""the ring in svens pocket""",,,"""2a""",,,"""12a and 12b""",,,"""2 years""",,,"""5 diamonds and a clear blue""",,,"""a ring pillow in the box""",,,"""her friend""",,
2020-06-24,5e0940924cac6822f3574032,22,20,2,""" 15""",,,"""A man had a suspicious amount of metal objects""",,,"""num_6""",,,"""7a7b""",,,"""num_1num_111months""",,,"""2pink""",,,"""silver band""",,,"""best friend""",,
2020-06-24,5d4200720eddc0000173e988,22,2,1,"""I dont recall""",,,"""Sven had a ring in his pocket that he forgot about""",,,"""I cannot recall""",,,"""2a and 2b""",,,""" I dont recall""",,,"""no recollection""",,,"""in a box""",,,"""I dont recall""",,
2020-06-24,5ea000d6e849b0000814e9d5,22,20,2,""" 10 """,,,"""too many metal items from a person in front of them""",,,"""c""",,,"""1a and 1b""",,,"""11 months""",,,"""3 pink""",,,"""a box from a velvet bag""",,,"""her best friend""",,
2020-06-24,5d9f8573ce3daf0015e3e400,22,2,0,"""I cant recall, I think they were in a rush""",,,"""A person in front of them had a lot of metal on their body. Sven also had the ring in his pocket so security stopped him.""",,,"""I cant recall""",,,"""They sat in the front, B2 and B3""",,,"""I forget""",,,"""I dont remember""",,,"""In a box I think""",,,"""I forget""",,
