participant,story,schema,1,2,3,4,5,6,7,8
030119_p1,24,Social,2,2,2,2,2,2,2,2
030119_p3,24,Social,1,2,0,0,0,2,2,2
030419_p2,24,Social,2,2,1,0,2,2,2,2
030519_p2,24,Social,2,2,0,0,1,2,2,2
030519_p3,24,Social,0,1,1,0,1,1,2,2
030719_p1,24,Location,1,1,1,0,2,1,2,2
030719_p3,24,Social,1,1,0,0,1,2,2,2
030819_p2,24,Location,1,2,2,2,1,2,2,2
031219_p2,24,Social,2,2,1,2,2,2,2,2
031319_p2,24,Social,1,1,1,0,2,2,0,0
031519_p2,24,Location,1,2,0,0,1,2,2,2
031519_p3,24,Location,2,1,0,0,1,2,2,2
