participant,story,schema,1,2,3,4,5,6,7,8
061419_p1,22,Location,They dont say,Isabel getting her laptop and sven having the ring in his pocket,Not mentioned,Not mentioned,5,Diamonds are pink and there 2 or 3 of them,In a box,Her sister
062019_p1,22,Social,Do not say,"Their bags were pulled aside and the security guard asked sven to remove all items from the pockets, then he proposes",Dont say,Front,2 or less,"Do not say color, quantity maybe 3",Box,A friend
062019_p2,22,Social,2 hours,Some guy has a bunch of metal on them,2b,"First class, 2a and 2b",11 months,2 and pink,A ring box,Like her sister or something
062519_p1,22,Social,Only about an hour and 15 minutes,Someone had a suspicious amount of metal objects,I can't remember,2a and 2b,"11 months, so almost 1 year",Two pink diamonds,A velvet box,Her best friend
062519_p2,22,Social,1 hour,Someone has too much metal ,C,,11 months,2 and pink,In a ring box,Her best friend
062519_p3,22,Location,2hours,There were too many people,Gate 34,2a 2b of the premier section,7 year,One big diamond,Pure love,Her best girlfriend and family
062719_p3,22,Location,1hr45mins,Sven forgot to take out the ring,,Didn's say,11 months,Didn's say,A box,Her best friend
062819_p2,22,Location,2 hours,Sven has diamond ring in his pocket,5a,"5a, 5b",11 months,One diamond ring,Sven's pocket,She texts her mother
