participant,story,schema,1,2,3,4,5,6,7,8
061919_p1,34,Location,It is a big lecture hall,The students are in an econ class and the day's lecture is about venture capital funding.,How to obtain vc funding,They have a final due next week,Students,"28,000''",Vandalay industries,A hug
062019_p1,34,Social,Crowded,"Business, ",Dont recall,Doesnt say,Ceo and representative of investors,28k,Roosevelt fund,Hug
062019_p2,34,Social,Medium sized with projectors and usb ports,"The lecture is about cesar, it is a history class",,Midterm papers are due the following thursday,Investor and developer,"300,000",,Hug
062119_p1,34,Location,There are desks in rows. ,They're in a history class. they are learning about the history of rome and athens. i think they're learning about greek history.,How old the city of rome is.,There is a paper due the next thursday. ,Alma is a ceo and charlie is an investment developer,"$27,000",Capital union,A hug
062519_p2,34,Social,Big,They are talking about ancient rome and augustus and how he wanted to design rome to look more like ancient athens,Augustus wanted to design ancient rome to be more like ancient athens,,She has a business plan and he is an investor,He initilly offers $28000,Church investment,They hug at the end
062519_p3,34,Location,,,,,Charlie is the school organizaiton leader and alma is a local it company ceo,180 million,,
062719_p3,34,Social,Didn't say,"Rome and augustus, archeology",That audustus want to beautify rome,The quiz next class,Invester and investee,28000,St charlies,Didn't say
062819_p2,34,Location,It is round and desks are uncomfortable,The day's lecture is about roman architeture,The professor teaches about roman architecture,There is an essay due next monday,"Charlie is data analyst, alma is ceo","35,000$",Churchill ventures,They hug
