date,prolific_id,story,persp,p_type,1,q1,2,q2,3,q3,4,q4,5,q5,6,q6,7,q7,8,q8
2020-12-02,5601379877f33b0010cb2b98,14,4,0,""" 15 long rows and large""",,"""class 4, aristotle?""",,"""hippocrates?""",,"""no idea""",,"""do not know""",,"""not sure""",,"""no because henry loves maria and does not want her to break up with him""",,"""maria wants her alpaca sweater back""",
2020-12-02,5ea624b32b24666209c18941,14,4,1,"""The lecture hall was long with 15 rows of neatly arranged desks""",,"""The students are in Introduction to Ancient Philosophy. The lecture today is about Aristotlean categories""",,"""The origin of the word  Category from Aristotlean philosophy""",,"""The final exam for the class is next Tuesday""",,""" For a few weeks now""",,"""She is going to study abroad, and thinks it will be very difficult for both of them to maintain this long distance relationship""",,"""Henry does not want to break up as he really likes Maria and wants to make it work by visiting her even while she is away long distance studying abroad""",,"""Maria wants all her items back including the alpaca sweater she left in Henry dorm room""",
2020-12-02,5f325ad3c8616a1b5f8c7bd4,14,4,1,""" large 15rows""",,"""week 4 intro to ancient philosophy and aristotilian philosophy""",,"""the catagories""",,"""final exam tuesday""",,"""days""",,"""long distance""",,"""no. he loves her""",,"""maria  alpackaclothing item""",
2020-12-02,5f6d646d819cf31de8f64a78,14,10,2,""" it was like a break up place for henry and maria""",,"""pyschology""",,"""about pyschology""",,"""next week""",,"""for a while""",,"""she said that she is travelling abroad for her studies""",,"""Henry does not want to break up he promised to always visit Maria""",,"""Maria""",
2020-12-02,5f6099ec11c341042ad16572,14,4,1,""" It is a wide hall which contained so many students. leturers find it difficult to see students who are not concentrating or who are doing other things, just like Maria and Henry were having a conversation in the lecture hall.""",,"""I do not remember what class the students was in but the days lecture was a very short one and was about aristotle.""",,"""Aristotle""",,"""I think it was on the next class, a week from that day, i guess.""",,"""Not too long, but she started thinking about it when she knew she would be leaving the country.""",,"""She cannot cope with a long distance relationship.""",,"""No, Henry never wanted it because he loves her so much.""",,"""Maria""",
2020-12-02,5f4cee33fa974e05995a92bd,14,10,2,"""conducive""",,"""in a lectuers class""",,"""study for the day""",,"""to be submitted in the next class""",,""" 3""",,"""long distance""",,"""yes , they want a breakup. distance has been their problem""",,"""henry""",
2020-12-02,5f4d2495564c0687df102deb,14,10,2,"""  it consists of students and a podium""",,,,"""week 4 class  lecture on a subject on philosophy""",,"""submitted in the coming class""",,""" for a while""",,"""long distance""",,"""no, he does not want a break up. long distance""",,,
2020-12-02,5f4cfe26fc6fe994078bedd3,14,10,2,"""a big room with the lecture podium and spaces""",,"""a philosophy class""",,"""lecture, a subject in philosophy""",,""" in the next class""",,""" for a while""",,"""long distance issues""",,"""no, henry was not happy with the breakup""",,"""maria wants her item""",
2020-12-02,5f437f00446374209d7b65b0,14,10,2,,,,,,,,,""" till reaching  their aim""",,"""maria cannot keep long distance""",,"""no, she do not want to break up""",,,
2020-12-02,5a282206b279aa0001b0e002,14,10,2,"""  it  is a large lecture hall that fits quite a few students""",,"""I canapostrophet remember correctly but I think it had to do with airstotle """,,"""there was definitely some mention of Aristotle""",,"""the next assinment was a paper due next week""",,"""a month""",,"""she doesnt think that a long distance relationship  will work""",,"""no he says that he loves her and that he doesnt want to break up""",,"""Maria wants her alpaca sweater back""",
2020-12-02, 5f0a2aa2185c8d0ee2e67d34,14,10,2,"""   spacious""",,"""mental heath""",,"""how to breake up""",,"""mental heath""",,"""5""",,"""they are not feeling good""",,"""maria""",,"""henry""",
2020-12-02,5f3be9f1b94de89725efe883,14,4,0,"""large and crowded with rows of desks""",,"""Categories from Socrates""",,"""About categories""",,"""Test on Tuesday about Plato and Socrates""",,""" Dont remember""",,"""long distance relationship""",,"""maria wanted to break up with henry""",,"""Maria wanted her alpaca sweater""",
2020-12-02,5f4d28042377a099e99eec79,14,4,0,""" Large""",,"""It is about aristotle and humans""",,"""aristotle""",,"""the exam for next week""",,"""a few days""",,"""she is traveling abroad""",,"""no because he loves her""",,"""maria wants her alpaca sweater""",
2020-12-02,597fe89a1b41a20001749f57,14,4,0,""" a large room""",,"""philosophy minus""",,"""categories""",,"""one week""",,"""for a while now""",,"""she is going to be studying abroad""",,"""no he does not want to break up because he loves her""",,"""maria wants her sweatshirt back""",
