date,prolific_id,story,persp,p_type,1,q1,2,q2,3,q3,4,q4,5,q5,6,q6,7,q7,8,q8
2020-12-02,5d891e6c58e42400182bca83,22,2,1,"""1hr and 15 minutes""",,"""a man had a suspicious amount of metal pieces""",,"""c40""",,"""first class in seats 2a and 2b""",,""" 1 year""",,"""blue with 3 diamonds""",,"""a ring box""",,"""her bestfriend""",
2020-12-02,56bb3f29724769000cb8e752,22,20,2,""" not much time""",,"""a passanger with a large amount of metal""",,"""16c""",,"""first class""",,"""6 months""",,"""1 white""",,"""a ring box""",,"""best friend""",
2020-12-02,5e6d582420f68f0111cf8319,22,2,0,"""1hour""",,"""a man had many metal things on his person""",,"""4""",,"""35a and b""",,""" 7years""",,"""5 white diamonds""",,"""a ring box""",,"""he friend""",
2020-12-02,5be8353e33f40a0001031d7a,22,2,0,"""one hour""",,"""something in his pocket""",,"""4""",,"""2 a and b""",,""" 3 years""",,"""2 pink""",,"""a velvet box""",,"""her friend""",
2020-12-02,5869dec37fbbcd00013974e2,22,2,0,"""i dont know""",,"""sven left the ring in his pocket""",,"""c40""",,"""2a and 2b in first class""",,""" I dont remember""",,"""2 pink diamonds""",,"""a velvet box""",,"""her best friend""",
2020-12-02,5d47abcc2dc88900166f27c9,22,2,0,"""1 hour 15 minutes""",,"""somebody had metal objects""",,"""34B""",,"""first class seats 2A and 2B""",,""" 11 weeks""",,"""two, pink""",,"""velvet box""",,"""best friend""",
2020-12-02,5f203e1ad9c1a22d146fd31c,22,20,2,"""1 hour""",,"""items in Sven pockets""",,"""C3""",,"""9th row""",,""" 1 year""",,"""2 pink""",,"""silver band""",,"""best friend""",
2020-12-02,5f2daab26e6e930b7efa5e43,22,20,2,"""not much time but no checkins""",,"""a man in front of them had metal stuff on his person""",,"""C""",,"""not sure""",,""" probably two years""",,"""was not mentioned""",,"""velvet box""",,"""her best friend""",
2020-12-02,5ef14bb31a0ed51490300e43,22,20,2,""" 1 hour""",,"""people putting thier shoes on""",,"""3""",,"""2a and 2b""",,"""11 months""",,"""2 pink""",,"""on the xray""",,"""her best friend""",
2020-12-02,5f8e26c14662151fcb6d07b7,22,2,0,"""Don""",,"""Because Sven has a red box in his pocket""",,"""c40""",,"""2a 2b""",,"""A couple of years""",,"""1 diamond, not sure about the color""",,"""A red box""",,"""Her best friend""",
2020-12-02,5a790a908fe2dc0001058b37,22,2,0,""" 4 hours""",,"""Man with suspicious amount of metal objects""",,"""11""",,"""2A and 2B""",,"""7 years""",,"""2 two pink diamonds""",,"""Pink ring case""",,"""Her best friend""",
2020-12-02,5f670febb29bcb2f7fc96a36,22,20,2,"""   """,,"""  """,,,,"""  """,,,,,,,,,
2020-12-02,5f8751ae5b5907159b2f67d4,22,20,2,"""1 hour""",,"""sven had  the rin gin his pocket""",,"""c4""",,"""2a2b""",,"""6 months""",,"""2 pink diamonds""",,"""is a brownish box""",,"""her friend""",
2020-12-02,5f5fffc902adba0e8f3fdb75,22,20,2,""" 45 minutes""",,"""someone with too many metal pieces""",,"""I dont know""",,"""first class, 2a and 2b""",,"""11 months""",,"""2 pink diamonds""",,"""velvet box""",,"""her best friend""",
2020-12-02,5eb1cc5bbd95623229c961a5,22,20,2,""" 1 hour""",,"""a guy ahead of them had too many metal pieces on his person""",,"""2""",,"""2a and 2b""",,"""11 monhts""",,"""2 pink diamonds on a silver band""",,"""it was present in its velvet box that he had forgotten in his pocket""",,"""her best friend""",
2020-12-02,5f4fe426bc50f511ff591125,22,2,1,"""Few minutes""",,"""Someone ahead had a lot of metal""",,"""Cannot remember """,,"""2a 2b""",,""" 11 months""",,"""2 pink diamonds""",,"""silver baring """,,"""I m ready""",
2020-12-02,5a4c162ed5b53b0001f822d3,22,2,1,""" 30 minutes""",,"""Sven forgot the ring in his pocket.""",,"""east gate""",,"""2B and 2C""",,"""2 years""",,"""pink, 3 diamonds""",,"""ring box""",,"""her best friend""",
2020-12-02,5e79340b6d9a624e3f39586d,22,2,1,"""a little over an hour""",,"""the ring and metal alarm""",,"""20 something""",,"""first class, 2""",,""" about a year""",,"""not sure""",,"""box""",,"""her best friend""",
