date,prolific_id,story,persp,p_type,1,q1,2,q2,3,q3,4,q4,5,q5,6,q6,7,q7,8,q8
2020-12-02,5ea0002d88f78b1aa69ca675,32,30,2,"""2 hours""",,"""A queue.""",,"""I cannot remember.""",,"""First Class?""",,""" I cannot remember either kob title.""",,"""I cannot remember,""",,"""I cannot remember.""",,"""A handshake.""",
2020-12-02,5ecc75967c7c76476806ab2b,32,2,0,"""90 minutes""",,"""there was a cart that had to be moved""",,"""1a""",,"""we only know jeffapostrophes seat on the plane, I think it was 9A""",,""" salesmen for a wine company""",,"""$400""",,"""Bjs wine""",,"""a handshake""",
2020-12-02,5f500418133110165a1539a9,32,2,0,""" 2 hours""",,"""An empy bin""",,"""B""",,"""2B""",,"""Jeff sells wine and William buys it""",,"""800 dollars""",,,,"""Handshake""",
2020-12-02,55b6ed4afdf99b437183fa6f,32,2,0,"""A few minutes""",,"""Everyone had to put their luggage into a bin""",,"""F gate""",,"""Business class""",,""" winemaker""",,"""800""",,"""JK Industries""",,"""A handshake""",
2020-12-02,5bf17270871dd1000197226e,32,2,1,""" 5 minutes""",,,,"""Gate B""",,,,,,,,,,,
2020-12-02,5edabd929d0c9370d88ed85a,32,2,1,"""1 hour""",,"""Laptop""",,"""B""",,"""b4 and c5""",,""" wine buyer and vineyard owner""",,"""400000 """,,"""Yankee Vineyard""",,"""Handshake""",
2020-12-02,5f8811c8230ebd25db3d3c4d,32,2,1,""" 2 hours""",,"""to assign tickets""",,"""back gate""",,"""business section""",,"""jeff was a factory business man""",,"""800 dollars""",,,,"""a hand shake""",
2020-12-02,5f88564087e5152dbbeba343,32,2,1,"""1 hours""",,"""safety""",,"""b""",,"""business class""",,"""  manager """,,"""500""",,"""jeff""",,"""no""",
2020-12-02,5f8bad1242efeb2f49156f51,32,2,0,"""10 minutes""",,"""a faulty metal detector""",,"""east gate""",,"""They both sit in first glass beside the window.""",,""" Marketing Director""",,"""200000""",,"""Blentham""",,"""a handshake""",
2020-12-02,5f129bc4329d461f67269693,32,2,1,""" two hours""",,"""they have to put their things in bings""",,,,"""business""",,"""wine""",,"""$800""",,"""east""",,"""handshake""",
2020-12-02,5f8a1cef1ec75e0cdb918a9e,32,2,1,"""30 minutes""",,"""A change in bins""",,"""a4""",,"""Buisness class""",,"""  Wine buyer""",,"""$800""",,,,"""Hand shake""",
2020-12-02,5deb1fc973f2e923afb6891e,32,2,1,"""they only had a few minutes before their flight departed""",,"""bad weather caused the hold up""",,"""they were walking towards the west gate""",,"""jeff sat in first class while william sat in coach""",,"""not sure""",,"""$600""",,"""not sure""",,"""a handshake""",
2020-12-02,5e24fbd4e1f467771c234e5f,32,30,2,""" 15 minutes""",,"""they were discussing wine samples""",,"""security gates""",,"""back""",,"""wine specialist""",,"""400""",,,,""" na""",
2020-12-02,5dd8c6e24c97928688acd05d,32,30,2,""" 30 minutes""",,"""the line""",,"""b8""",,"""business b8""",,"""one is a seler on west coast another is buyer fro corporate events on east coast""",,"""$500 for a crate, order is 2 crates so $1000""",,"""I do not know""",,"""shook hands""",
2020-12-02,5f05d81ae130ca08ee2c73b7,32,30,2,,,,,,,,,""" """,,,,,,,
2020-12-02,5e667f3bc3f30a4050fc8f2f,32,30,2,""" one hour""",,"""I do not remember""",,"""I do not remember""",,"""I do not remember""",,"""I do not remember""",,"""$800""",,"""I do not remember""",,"""handshake""",
2020-12-02,5f40442792000717762de583,32,30,2,""" They do not have a lot of time.""",,"""There was a delay.""",,"""B13""",,"""Business Class""",,"""Wine for large companies and Wine for the Northeast""",,"""Half of the usual price. """,,"""Winery""",,"""Handshake""",
2020-12-02,5dfc64647adf4b971f329cbf,32,30,2,""" about 9 minutes""",,"""check up on other items""",,"""gate 9""",,"""Do not remember""",,"""Ceo and owner""",,"""about eight hundred per crate""",,"""cannot remember""",,"""shake hands""",
2020-12-02,5faae458b9fcb7531b852974,32,30,2,"""An hour or two""",,"""Security bins being put out""",,"""4B?""",,"""Do not recall""",,""" wine salesman and wine buyer""",,"""$500""",,"""Yankee Vines""",,"""A handshake""",
