date,prolific_id,story,persp,p_type,1,q1,2,q2,3,q3,4,q4,5,q5,6,q6,7,q7,8,q8
2020-12-02,5e54309f0a98c705f68ae8a8,42,2,1,""" """,,"""Anna tripped""",,"""3""",,"""Anna 7d, David unknown""",,"""luggage rack""",,"""Are you okay?""",,"""next week for dinner""",,"""10:55pm""",
2020-12-02,5a80d4e4f49c9a0001f35cb2,42,2,1,"""5""",,"""malfunction of scanner""",,"""j37""",,"""6d""",,""" his suitcase""",,"""were you a gymnist""",,"""dinner and on leftleftleftleft tuesday""",,"""num_1num_1:num_5num_51155""",
2020-12-02,5dd9df0e946f7c97406a55ea,42,2,1,"""dont recall""",,"""anna makes a mistake""",,"""front gate""",,"""dont know""",,"""suitcase""",,"""are you a gymnast""",,"""when they come back to town""",,"""not sure""",
2020-12-02,5f6aa61123368b1893fd12d6,42,2,1,"""  """,,,,,,"""a""",,"""wheather""",,"""hey""",,"""holiday""",,"""am""",
2020-12-02,5f2ef358d45f6110ad8ba935,42,40,2,"""5""",,"""annas shoes""",,"""i dont know""",,"""coach""",,""" briefcase""",,"""are you a gymnast""",,"""when they get back from their trips for dinner""",,"""11:55""",
2020-12-02,5f5f9b5448f99d01c3b3101e,42,40,2,"""       9 """,,"""4""",,"""3""",,"""4""",,"""  """,,"""3""",,"""34""",,"""4""",
2020-12-02,5f8c971713143e0eeebdcd15,42,2,1,""" 3""",,"""flight delay""",,"""3""",,"""7""",,"""same the school""",,,,""" yes""",,"""3""",
2020-12-02,5dce9f0c867a25197d6944c5,42,40,2,"""  """,,"""Not sure""",,"""I dont remember""",,"""No idea""",,"""In this story? Or the previous?  a glass of wine""",,"""i dont recall""",,"""soon""",,"""oh lord """,
2020-12-02,5fa48e06e214730d551f1de7,42,2,0,""" anna has thirty minutes, and david has two hours""",,"""the machine was malfunctioning""",,"""I forget""",,"""I forget""",,"""The luggage cart""",,"""Are you a tumbler?""",,"""The will meet the following tuesday for a date, when they both arrive back in town""",,"""I forget""",
2020-12-02,5d4dd26210d0030001134f37,42,40,2,"""David has 3 hours, Anna has only a short time before her flight""",,"""There was no hold up, they get through the security check with no problems""",,"""Unsure""",,"""Only Anna gets on the plane, not sure which section and seat""",,""" Laptop""",,"""Were you ever a gymnast?""",,"""Next Tuesday for dinner""",,"""10:55am""",
2020-12-02,5f0d6c9bb43cfb0182a9d464,42,2,0,"""15 minutes""",,"""The metal detector stopped working""",,"""15?""",,"""no idea""",,""" newspaper""",,"""Are you a gymnast?""",,"""They will meet later in the week for dinner""",,"""4:45pm?""",
2020-12-02,55ed87f0748092000baa9a0b,42,2,0,"""30 minutes""",,"""A malfunction with the machine""",,"""I dont recall""",,"""I dont recall""",,""" a runaway luggage cart""",,"""where you a gymnast?""",,"""This coming Tuesday""",,"""10:05am""",
2020-12-02,5eb1bfe57e59240f9097f59d,42,2,0,""" David has two hours, Anna has half an hour""",,"""There was a malfunction with the metal detector""",,"""Annas gate""",,"""Anna gets on the seat 7d, I do not remember where David sat""",,"""a suitcase""",,"""Are you a gymnast?""",,"""after Anna returns, for dinner""",,"""i do not remember""",
2020-12-02,5f970bac28901a06b8152b0b,42,40,2,""" 7.30""",,"""to save""",,"""main""",,"""8""",,"""bag""",,"""about money""",,"""birthday""",,"""8""",
2020-12-02,5b97f8988ae8150001c7a887,42,2,0,""" """,,"""A broken metal detector""",,"""D57""",,"""Business class""",,""" She is holding her suitcase.""",,"""What time is her flight.""",,"""They will meet for dinner, when Anna returns.""",,"""11:00am""",
