date,prolific_id,story,persp,p_type,1,q1,2,q2,3,q3,4,q4,5,q5,6,q6,7,q7,8,q8
2020-12-02,5eac12072b68452228ea8a40,12,2,0,"""10 minutes""",,"""security guards changing shifts""",,"""5""",,"""in different sections""",,""" 6 months""",,"""it wasnt working for them""",,"""didnt think to bring it up before going on holiday together""",,"""jessie""",
2020-12-02,5c3d4b92486a390001e87dfe,12,2,1,""" 45 minutes?""",,"""change of shift""",,"""A328?""",,"""Economy: 33a and 36F """,,"""entire vacation""",,"""incompatible personalities""",,"""I do not think so, but he says it is a good idea if she is so frustrated""",,"""Jessie""",
2020-12-02,5f5fe3f8a0a5c20c2f5e2673,12,2,0,""" 11am""",,"""the reason for hold up was the disagreement between the couples.""",,,,"""they were not in the same plane.""",,"""for a  very long time""",,"""the initial reason stated for the breakup was as a result of incompatibility between them.""",,"""the person who is being broken up with was not expecting the breakup.""",,"""calvin wants some of his books back as a result of the breakup""",
2020-12-02,5d8aafe09d72b20019dc66d3,12,2,0,""" not sure, 30 minutes?""",,"""security guards were switching shifts""",,"""a 38b""",,"""jessie sits at row 34. calvin at row 37""",,"""not sure. ever since they got to the airport""",,"""they have different personalities""",,"""not really. he is upset but tries not to show emotion. """,,"""jessie wants philosophy books ack""",
2020-12-02,5eeab761609f0d1df85d61bf,12,2,0,"""Not long, fifteen minutes?""",,"""A shift change among Tsa agents""",,"""E something?""",,"""Economy""",,"""A few weeks; during the vacation""",,"""She was bored""",,"""He accepted it; he said she should go if she was bored""",,"""Jessie wants her philosophy books back""",
2020-12-02,5f62a0c4be0ef41e24f62c00,12,2,0,""" early """,,"""its very important """,,"""3rd """,,"""f""",,"""30""",,"""both are bored""",,"""kelvin""",,"""Kelvin""",
2020-12-02,5ced335ede266200161ea979,12,2,1,"""5""",,"""delayed plane""",,"""gate 4""",,"""bussiness class""",,""" 2 month""",,"""late come""",,"""jessie, because trouble plane""",,"""bag and spare part""",
2020-12-02,56f9364e895094000c8f4967,12,2,1,""" an hour""",,"""change of shift""",,"""dont know""",,"""jessie sat in 36f""",,"""the whole trip""",,"""differences in the way theysee things""",,"""yes to not bore them anymore""",,"""jessie""",
2020-12-02,5f56056a645a6e9dba848fa2,12,2,0,"""it was almost immediately, i cant recall clearly""",,"""regular checks including metal detector checks""",,"""not sure""",,"""jessie in 33b, calvin in 36f""",,"""for a while it seemed, long before the vacation""",,"""not clearly stated, but shes obviously not feeling it anymore""",,"""no, calvin doesnt want a break up""",,"""jessie wants her philosophy books back""",
2020-12-02,5c0fa2324324e80001c951c9,12,2,0,""" 20 minutes""",,"""metal detectors""",,"""f""",,"""33a 36f""",,"""since the before the vacation""",,"""they are not compatible""",,"""they did not know and just thought the other person was annoyed with them""",,"""philosophy books""",
2020-12-02,5f5588eb6fb28c959e202247,12,2,0,""" 20 minutes""",,"""bag check problem""",,"""cant remember""",,,,"""6 weeks""",,"""she wasnt intersted in him anymore""",,"""yes he is upset that she is bored with him""",,"""Jessie wants philosophy books back""",
2020-12-02,5f87229eedaff10de2c1844a,12,2,0,"""I do not remember""",,"""the poor infra""",,"""no idea, 24 a?""",,"""34a and 27e?""",,""" for some time, I think at least several weeks""",,"""their difference in personalites """,,"""no Calvin does not want to be broken up with even though he says he thinks its a good idea because of their difference in priorities""",,"""Jessie wants her books back""",
2020-12-02,5f3a99865242340d71f85620,12,2,1,""" half an hour""",,"""there was a change in shifts for the workers at security""",,"""tab I don""",,"""33a and 36f in economy""",,"""2 weeks""",,"""he was intollerable""",,"""yes, if she thinks he is intollerable than he thinks they should split up""",,"""she wants philosphy books back""",
2020-12-02,58d7d2c2e9b6dc000129148a,12,2,1,""" They still had a decent amount of time.""",,"""They were upset at eachother and got into an argument.""",,"""The third gate""",,"""They sat in different seats in the same section of the plane, which I cannot recall.""",,"""She had been thinking about it for quite some time.""",,"""She felt he was annoying.""",,"""He agreed that they should break up, seeing as she thought poorly of him.""",,"""She wants her books back from him, and he couldnt believe her.""",
2020-12-02,5f8eef372ace000b7ce1dca4,12,2,0,""" 5 min""",,"""shift change""",,"""c""",,"""33c 36f""",,"""days""",,"""personality differences""",,"""yes, if they are a bore""",,"""jessie""",
2020-12-02,5d23d88ba60539001ba16192,12,2,1,"""i do not remember""",,"""baggage issues""",,"""i do not remember""",,"""3 rows away from eachother""",,""" for a while, now""",,"""she is bored of the relationship and feels they are not compatable""",,"""they want to break up out of spite for the person breaking up with them. it sounded passive aggressive""",,"""the person initiating the break up""",
2020-12-02,5e0bf8b8a99550400f02fb16,12,2,0,"""30 mins""",,"""shift change""",,,,"""dont know but theyre three rows apart""",,""" several weeks""",,"""calvin doesnt listen to her""",,"""yes, calvin doesnt want to keep jessie in the relationship if it makes her unhappy""",,"""jessie wants her philosophy books back""",
2020-12-02,5f9ebfd0a1777f4763424391,12,10,2,""" half an hour""",,"""shift change""",,"""228""",,"""economy""",,"""long""",,"""boring""",,"""no""",,"""philosophy bag""",
2020-12-02,5ec885ed5583f336538f0a23,12,10,2,""" 20 minutes""",,,,"""west""",,"""diferent sections jessie toward the front and calvin toward the back""",,"""since before the vacation""",,"""their personalities dont go well together""",,"""calvin thinks if she feels that way then its best they breakup""",,"""jessie wants her psychology books back""",
2020-12-02,583db8742b21bf0001016d1b,12,10,2,""" thirty minutes""",,"""Calvin is slow going through""",,"""3A""",,"""Both sit in economy, Jesse sits in the 30s""",,"""Jesse has been thinking about it during the whole vacation""",,"""Jesse finds him intolerable""",,"""Calvin wants to break up and wants to avoid wasting time with each other""",,"""Jesse wants her philosophy books bac""",
