date,prolific_id,story,persp,p_type,1,q1,2,q2,3,q3,4,q4,5,q5,6,q6,7,q7,8,q8
2020-12-02,5c6b03919491820001435d81,34,4,1,""" it had projectors and plug sockets as well as desks, it was a rather large lecture hall""",,"""they are in an archaeology or rome class""",,"""they are taught about a movement in rome""",,"""it is a thesis paper due the following week""",,"""web developer""",,"""50000 dollars""",,"""unsure""",,"""a hug""",
2020-12-02,5f715998dddddd783c24fb3a,34,4,1,"""quiet""",,"""rome""",,"""Aposto""",,"""forgot""",,"""Not sure very forgettable""",,"""28000""",,"""Didnt catch it""",,"""hug""",
2020-12-02,5f420cd40061580008f221a9,34,4,1,"""medium sized""",,"""roman studies, Augustus""",,"""Augustus""",,"""I donapostrophet know""",,"""finance manager""",,"""28,000""",,"""i donapostrophet remember""",,"""hug""",
2020-12-02,5edfb0770fb0722aa3839b6d,34,30,2,"""It has projectors for the history professor.""",,"""It is a history class about Roman times, especially Augustus.""",,"""Augustus was an emperor from ancient Rome.""",,"""I am not quite sure. I just remember that these two were the last to leave. I would guess the homework is for the next class.""",,""" Charlie is a fund manager for his investor club group, while Anna is CEO and web developer for her startup.""",,"""28000""",,"""Churchill Capital Group""",,"""Hug""",
2020-12-02,5f0e1c64a3a86a136d884628,34,30,2,""" big with a lot of people""",,"""i think something about research?""",,"""buying a company""",,"""next class""",,"""no idea""",,"""9 million""",,,,"""a handshake""",
2020-12-02,5c7af0dc9782c300011cd107,34,30,2,"""Large lecture hall""",,"""Architecture Class and Roman Architecture""",,"""Roman historical architecture""",,,,"""  """,,"""$28,000""",,"""Charlie Clique""",,"""Handshake""",
2020-12-02,5f4f29b8c154ed17df64546b,34,4,0,""" The lecture hall was large and full of students.""",,"""The class was Roman History and they were discussing Augustus.""",,"""Augustus was a great leader.""",,"""The midterm paper must be turned in to the TA the next day.""",,"""Charlie is an investment broker and Alma is the head of a start up.""",,"""$23,000""",,"""I do not recall""",,"""A hug""",
2020-12-02,5f76352360d6810b6a5c299d,34,4,0,"""finance""",,"""finance""",,"""investments""",,"""investment topic""",,""" investors""",,"""1 million""",,"""can notremember""",,"""good understanding""",
2020-12-02,5d1d073e2741ce0019113c67,34,4,0,"""Bright. Seperate tables. There is a projector""",,"""The lecture is about Agustus and beautifying Rome""",,"""Augustus wanted to beautify Rome. """,,"""I have no ide. """,,""" Charlie is a student that is part of an investment firmslashgroup. Alma is a Ceo.""",,"""28000""",,"""I donapostrophet remember""",,"""hug""",
2020-12-02,5f14cc91fe732f56204b3e6e,34,4,0,""" boring and about history""",,"""something about ancient times or history""",,"""i do not remember""",,"""due next class""",,"""investor""",,"""57 million""",,"""i do not know""",,"""hand shake""",
2020-12-02,5f8cfc8b9a3e411835aa31be,34,4,0,"""big""",,"""law""",,"""history""",,"""essay sunday""",,"""  entry level assistant""",,"""10000""",,"""boieng""",,"""handshake""",
2020-12-02,5c6f00110b99a000018cc3c1,34,4,0,""" I donapostrophet remember""",,"""dont remember""",,"""augustus""",,"""not sure""",,"""not sure""",,"""28000""",,"""not sure""",,"""hug""",
