date,prolific_id,story,persp,p_type,1,q1,2,q2,3,q3,4,q4,5,q5,6,q6,7,q7,8,q8
2020-07-29,5ea9cf685ce96d13164b381a,42,2,0,"""20 minutes""",,"""line""",,"""gate b""",,"""17""",,""" suitcase""",,"""were you a gymnist""",,"""next tuesday""",,"""10:55 am""",
2020-07-29,5eb3d22ffa15221c2e0117c5,42,2,1,"""30 minutes?""",,"""the metal detector was broken""",,"""c?""",,"""first class""",,""" suitcase""",,"""how are you?""",,"""wedding""",,"""10pm?""",
2020-07-29,5c8ebaed13e167000176428f,42,2,1,""" David has 3 hours and Anna 35 mins""",,"""malfunction of the metal detector""",,"""j37""",,"""7D business""",,"""luggage cart""",,"""are you a gymnast?""",,"""next tuesday for drinks""",,"""5 minutes before her flight leaves..""",
