date,prolific_id,story,persp,p_type,1,q1,2,q2,3,q3,4,q4,5,q5,6,q6,7,q7,8,q8
2020-07-29,55a43687fdf99b7da1908e0f,14,4,0,"""large""",,"""anthropology""",,"""aristoltle""",,"""exam next week""",,""" weeks""",,"""she did not want to do long distance.""",,"""no, they love her,""",,"""maria""",
2020-07-29,59dc458f77860e000151240e,14,4,1,"""The lecture hall is large and spacious. """,,"""The students are in a philosophy class and the lecture is about categories.""",,"""Concepts from ancient Greeks and the history behind them.""",,"""They had to write a paper on the Socratic method next week.""",,""" Maria had been thinking about breaking up for a few weeks.""",,"""Maria was going to be traveling abroad and did not want to be bogged down by thinking of Henry.""",,"""No, Henry does not want to break up because he still loves Maria.""",,"""Maria wants her favorite alpaca sweater back before she leaves for her trip.""",
2020-07-29,5b1386089663ee0001461b6e,14,4,0,"""Do not remember.  I think there was something about light or dust.""",,"""I think it was Aristotle, about categories.""",,"""Philosophy.""",,"""Do not remember""",,""" Do not remember""",,"""She could not do a long distance relationship""",,"""No""",,"""Maria""",
2020-07-29,5e90781c06c6ee000974d087,14,10,2,"""A stage at the front with 15 tiers of seats""",,"""Philosophy to do categories of some sort?""",,"""Aristoltle?""",,"""They have an exam next tuesday""",,""" For a while, probobaly since she got confirmed to do a study abroad""",,"""She is moving away to study abroad and doesnapostrophet want to do long distance""",,"""No, they love Maria.""",,"""Maria wants her alpacca sweater from Henryapostrophes dorm room""",
