priming,dif
soc,0.8
soc,1.4375
soc,-0.5625
soc,2.375
soc,-0.24999999999999978
soc,-0.85
soc,1.25
soc,0.3125
soc,1.125
soc,0.4375
soc,-1.125
soc,-0.25
soc,1.35
soc,1.75
soc,0.625
soc,0.25
soc,0.5
soc,0.6875
soc,0.9375
