priming,qt,avg,participant,story
no_prime,al,0.875,91,31
no_prime,as,0.5,91,31
no_prime,al,1.05,92,32
no_prime,as,2.1,92,32
no_prime,al,1.2,93,32
no_prime,as,2.85,93,32
no_prime,al,1.1875,94,32
no_prime,as,0.0625,94,32
no_prime,al,0.75,95,32
no_prime,as,1.0625,95,32
no_prime,al,1.9375,96,32
no_prime,as,2.125,96,32
no_prime,al,0.5,97,32
no_prime,as,1.5,97,32
no_prime,al,0.0,98,32
no_prime,as,0.75,98,32
no_prime,al,1.25,99,33
no_prime,as,0.25,99,33
no_prime,al,2.4,100,33
no_prime,as,1.35,100,33
no_prime,al,1.7999999999999998,101,33
no_prime,as,1.5,101,33
no_prime,al,0.5,102,33
no_prime,as,0.25,102,33
no_prime,al,2.25,103,33
no_prime,as,2.375,103,33
no_prime,al,2.5625,104,33
no_prime,as,1.375,104,33
no_prime,al,1.25,105,33
no_prime,as,0.875,105,33
no_prime,al,1.25,106,33
no_prime,as,0.5,106,33
no_prime,al,0.9,107,34
no_prime,as,1.55,107,34
no_prime,al,1.2000000000000002,108,34
no_prime,as,1.6,108,34
no_prime,al,1.1875,109,34
no_prime,as,2.0,109,34
no_prime,al,0.0,110,34
no_prime,as,0.125,110,34
no_prime,al,1.25,111,34
no_prime,as,2.125,111,34
no_prime,al,0.125,112,34
no_prime,as,0.1875,112,34
no_prime,al,0.25,113,34
no_prime,as,0.0,113,34
no_prime,al,0.0625,114,34
no_prime,as,1.5,114,34
no_prime,al,1.75,115,41
no_prime,as,2.6875,115,41
no_prime,al,1.3125,116,41
no_prime,as,1.5,116,41
no_prime,al,0.375,117,41
no_prime,as,0.1875,117,41
no_prime,al,0.0,118,41
no_prime,as,0.75,118,41
no_prime,al,0.6875,119,41
no_prime,as,1.0,119,41
no_prime,al,1.8125,120,41
no_prime,as,1.0,120,41
no_prime,al,2.2,121,42
no_prime,as,1.75,121,42
no_prime,al,0.0,122,42
no_prime,as,2.0,122,42
no_prime,al,1.125,123,42
no_prime,as,0.9375,123,42
no_prime,al,0.75,124,42
no_prime,as,1.125,124,42
no_prime,al,1.4375,125,42
no_prime,as,1.5,125,42
no_prime,al,1.75,126,42
no_prime,as,1.25,126,42
no_prime,al,1.25,127,42
no_prime,as,1.0,127,42
no_prime,al,1.3,128,43
no_prime,as,1.4,128,43
no_prime,al,0.65,129,43
no_prime,as,0.25,129,43
no_prime,al,1.375,130,43
no_prime,as,1.1875,130,43
no_prime,al,1.4375,131,43
no_prime,as,0.75,131,43
no_prime,al,1.3125,132,43
no_prime,as,0.875,132,43
no_prime,al,1.6875,133,43
no_prime,as,0.9375,133,43
no_prime,al,0.5625,134,43
no_prime,as,1.4375,134,43
no_prime,al,1.25,135,44
no_prime,as,2.0,135,44
no_prime,al,0.25,136,44
no_prime,as,2.8,136,44
no_prime,al,0.5625,137,44
no_prime,as,0.6875,137,44
no_prime,al,0.9375,138,44
no_prime,as,2.4375,138,44
no_prime,al,1.0,139,44
no_prime,as,1.875,139,44
no_prime,al,0.3125,140,44
no_prime,as,0.0,140,44
no_prime,al,0.875,141,44
no_prime,as,0.9375,141,44
loc,al,1.4,142,11
loc,as,1.35,142,11
loc,al,1.6875,143,11
loc,as,2.75,143,11
loc,al,1.375,144,11
loc,as,2.25,144,11
loc,al,1.3125,145,11
loc,as,2.5,145,11
loc,al,1.25,146,11
loc,as,2.4375,146,11
loc,al,1.1875,147,11
loc,as,0.9375,147,11
loc,al,0.5625,148,11
loc,as,2.375,148,11
loc,al,0.0625,149,11
loc,as,0.375,149,11
loc,al,1.05,150,12
loc,as,0.25,150,12
loc,al,0.125,151,12
loc,as,1.625,151,12
loc,al,2.625,152,12
loc,as,1.4375,152,12
loc,al,1.0,153,12
loc,as,1.125,153,12
loc,al,1.75,154,12
loc,as,1.0,154,12
loc,al,0.125,155,12
loc,as,0.8125,155,12
loc,al,0.25,156,12
loc,as,0.6875,156,12
loc,al,2.75,157,13
loc,as,2.1875,157,13
loc,al,2.3125,158,13
loc,as,2.0,158,13
loc,al,1.25,159,13
loc,as,0.25,159,13
loc,al,0.75,160,13
loc,as,1.0,160,13
loc,al,1.5625,161,13
loc,as,1.125,161,13
loc,al,2.625,162,13
loc,as,2.0,162,13
loc,al,2.0,163,13
loc,as,1.9375,163,13
loc,al,0.0,164,13
loc,as,1.3125,164,13
loc,al,1.0,165,13
loc,as,1.375,165,13
loc,al,1.35,166,14
loc,as,2.6,166,14
loc,al,0.75,167,14
loc,as,2.0625,167,14
loc,al,2.0625,168,14
loc,as,2.125,168,14
loc,al,2.25,169,14
loc,as,2.25,169,14
loc,al,0.75,170,14
loc,as,1.75,170,14
loc,al,1.2999999999999998,171,21
loc,as,1.8,171,21
loc,al,0.44999999999999996,172,21
loc,as,0.85,172,21
loc,al,1.0625,173,21
loc,as,2.75,173,21
loc,al,2.25,174,21
loc,as,2.9375,174,21
loc,al,0.8125,175,21
loc,as,1.875,175,21
loc,al,0.0625,176,21
loc,as,0.0,176,21
loc,al,1.5625,177,21
loc,as,1.8125,177,21
loc,al,2.4375,178,21
loc,as,2.0,178,21
loc,al,0.5,179,22
loc,as,0.25,179,22
loc,al,1.875,180,22
loc,as,1.5,180,22
loc,al,3.0,181,22
loc,as,1.3125,181,22
loc,al,1.25,182,22
loc,as,1.5,182,22
loc,al,0.3125,183,22
loc,as,1.625,183,22
loc,al,1.0,184,22
loc,as,1.375,184,22
loc,al,0.75,185,23
loc,as,2.0,185,23
loc,al,1.3,186,23
loc,as,1.65,186,23
loc,al,0.15,187,23
loc,as,1.7,187,23
loc,al,1.5,188,23
loc,as,1.25,188,23
loc,al,1.625,189,23
loc,as,2.0625,189,23
loc,al,0.25,190,23
loc,as,1.5,190,23
loc,al,0.35,191,24
loc,as,1.3,191,24
loc,al,1.5625,192,24
loc,as,3.0,192,24
loc,al,1.5,193,24
loc,as,1.3125,193,24
loc,al,2.375,194,24
loc,as,2.25,194,24
loc,al,0.9375,195,24
loc,as,0.8125,195,24
loc,al,1.5625,196,31
loc,as,1.5625,196,31
loc,al,0.875,197,31
loc,as,0.875,197,31
loc,al,0.9375,198,31
loc,as,0.25,198,31
loc,al,1.4375,199,31
loc,as,1.5,199,31
loc,al,2.0625,200,31
loc,as,1.0625,200,31
loc,al,1.6875,201,31
loc,as,1.625,201,31
loc,al,1.2,202,32
loc,as,0.8,202,32
loc,al,1.9375,203,32
loc,as,2.625,203,32
loc,al,1.5,204,32
loc,as,2.125,204,32
loc,al,0.5,205,32
loc,as,0.0,205,32
loc,al,0.625,206,32
loc,as,1.6875,206,32
loc,al,1.25,207,32
loc,as,1.5625,207,32
loc,al,1.0,208,32
loc,as,0.25,208,32
loc,al,1.25,209,32
loc,as,1.5,209,32
loc,al,1.25,210,32
loc,as,1.75,210,32
loc,al,0.0,211,32
loc,as,1.1875,211,32
loc,al,1.9,212,33
loc,as,1.5,212,33
loc,al,2.25,213,33
loc,as,1.1875,213,33
loc,al,2.125,214,33
loc,as,1.8125,214,33
loc,al,1.6875,215,33
loc,as,1.875,215,33
loc,al,1.75,216,33
loc,as,2.0,216,33
loc,al,0.5,217,33
loc,as,0.125,217,33
loc,al,1.25,218,33
loc,as,0.0,218,33
loc,al,1.25,219,33
loc,as,0.75,219,33
loc,al,0.25,220,33
loc,as,0.75,220,33
loc,al,1.35,221,34
loc,as,2.6,221,34
loc,al,0.8,222,34
loc,as,1.5,222,34
loc,al,0.5,223,34
loc,as,1.4375,223,34
loc,al,1.3125,224,34
loc,as,1.1875,224,34
loc,al,1.875,225,34
loc,as,2.625,225,34
loc,al,1.3125,226,34
loc,as,0.8125,226,34
loc,al,0.3125,227,34
loc,as,1.5,227,34
loc,al,0.875,228,34
loc,as,1.625,228,34
loc,al,0.25,229,41
loc,as,0.4,229,41
loc,al,1.5625,230,41
loc,as,1.3125,230,41
loc,al,2.1875,231,41
loc,as,1.9375,231,41
loc,al,1.5625,232,41
loc,as,2.25,232,41
loc,al,0.9375,233,41
loc,as,1.6875,233,41
loc,al,1.0,234,41
loc,as,1.75,234,41
loc,al,0.8125,235,41
loc,as,1.75,235,41
loc,al,0.6875,236,41
loc,as,0.4375,236,41
loc,al,1.0,237,42
loc,as,1.25,237,42
loc,al,2.1,238,42
loc,as,1.8,238,42
loc,al,1.3,239,42
loc,as,0.5,239,42
loc,al,2.5,240,42
loc,as,0.5,240,42
loc,al,0.875,241,42
loc,as,0.4375,241,42
loc,al,3.0,242,42
loc,as,1.375,242,42
loc,al,0.5,243,42
loc,as,1.125,243,42
loc,al,1.5,244,42
loc,as,1.5,244,42
loc,al,0.0,245,42
loc,as,0.75,245,42
loc,al,0.375,246,42
loc,as,0.0,246,42
loc,al,2.2,247,43
loc,as,1.7000000000000002,247,43
loc,al,2.4375,248,43
loc,as,1.75,248,43
loc,al,1.25,249,43
loc,as,0.125,249,43
loc,al,2.125,250,43
loc,as,1.0,250,43
loc,al,2.25,251,43
loc,as,0.75,251,43
loc,al,1.75,252,43
loc,as,1.3125,252,43
loc,al,1.5,253,44
loc,as,2.0,253,44
loc,al,0.6875,254,44
loc,as,0.3125,254,44
loc,al,0.625,255,44
loc,as,0.25,255,44
loc,al,1.6875,256,44
loc,as,2.1875,256,44
loc,al,1.875,257,44
loc,as,2.25,257,44
loc,al,1.0625,258,44
loc,as,1.375,258,44
loc,al,1.1875,259,44
loc,as,2.25,259,44
soc,al,1.25,260,11
soc,as,1.9375,260,11
soc,al,0.25,261,11
soc,as,2.0,261,11
soc,al,0.5,262,11
soc,as,0.375,262,11
soc,al,0.0,263,11
soc,as,0.9375,263,11
soc,al,0.0,264,11
soc,as,1.5625,264,11
soc,al,1.125,265,11
soc,as,2.0,265,11
soc,al,1.9375,266,11
soc,as,1.8125,266,11
soc,al,1.375,267,11
soc,as,2.0,267,11
soc,al,0.05,268,12
soc,as,2.25,268,12
soc,al,0.3,269,12
soc,as,1.55,269,12
soc,al,2.375,270,12
soc,as,2.0625,270,12
soc,al,1.8125,271,12
soc,as,2.9375,271,12
soc,al,1.25,272,12
soc,as,0.25,272,12
soc,al,0.1875,273,12
soc,as,1.875,273,12
soc,al,1.0625,274,12
soc,as,1.1875,274,12
soc,al,1.7500000000000002,275,13
soc,as,1.85,275,13
soc,al,1.25,276,13
soc,as,1.0,276,13
soc,al,1.0,277,13
soc,as,1.1875,277,13
soc,al,1.875,278,13
soc,as,1.375,278,13
soc,al,0.25,279,13
soc,as,0.8125,279,13
soc,al,0.75,280,14
soc,as,3.0,280,14
soc,al,1.0,281,14
soc,as,1.25,281,14
soc,al,1.625,282,14
soc,as,2.3125,282,14
soc,al,0.25,283,14
soc,as,1.0625,283,14
soc,al,0.0625,284,14
soc,as,0.9375,284,14
soc,al,0.25,285,14
soc,as,1.25,285,14
soc,al,0.625,286,14
soc,as,1.5,286,14
soc,al,0.0,287,14
soc,as,0.875,287,14
soc,al,0.8125,288,14
soc,as,2.1875,288,14
soc,al,0.125,289,14
soc,as,0.0,289,14
soc,al,1.3499999999999999,290,21
soc,as,1.7,290,21
soc,al,1.0,291,21
soc,as,2.75,291,21
soc,al,2.75,292,21
soc,as,3.0,292,21
soc,al,0.5,293,21
soc,as,2.9375,293,21
soc,al,0.8125,294,21
soc,as,1.6875,294,21
soc,al,0.5625,295,21
soc,as,1.0,295,21
soc,al,1.0,296,22
soc,as,2.25,296,22
soc,al,1.2,297,22
soc,as,2.45,297,22
soc,al,0.25,298,22
soc,as,0.125,298,22
soc,al,0.25,299,22
soc,as,1.75,299,22
soc,al,1.375,300,22
soc,as,1.0625,300,22
soc,al,0.875,301,22
soc,as,1.75,301,22
soc,al,1.125,302,22
soc,as,1.25,302,22
soc,al,1.0,303,22
soc,as,2.25,303,22
soc,al,1.5,304,22
soc,as,1.4375,304,22
soc,al,1.5,305,22
soc,as,2.75,305,22
soc,al,1.75,306,22
soc,as,2.75,306,22
soc,al,1.25,307,23
soc,as,2.0,307,23
soc,al,2.0,308,23
soc,as,2.75,308,23
soc,al,1.1875,309,23
soc,as,2.25,309,23
soc,al,1.125,310,23
soc,as,3.0,310,23
soc,al,1.0,311,23
soc,as,2.25,311,23
soc,al,0.75,312,23
soc,as,2.25,312,23
soc,al,1.0625,313,23
soc,as,3.0,313,23
soc,al,2.0,314,23
soc,as,2.0,314,23
soc,al,0.6499999999999999,315,24
soc,as,3.0,315,24
soc,al,0.1,316,24
soc,as,1.5,316,24
soc,al,1.65,317,24
soc,as,2.25,317,24
soc,al,0.625,318,24
soc,as,3.0,318,24
soc,al,0.8125,319,24
soc,as,2.0625,319,24
soc,al,1.0625,320,24
soc,as,0.75,320,24
soc,al,1.25,321,24
soc,as,2.3125,321,24
soc,al,1.5625,322,24
soc,as,2.75,322,24
soc,al,0.75,323,31
soc,as,1.9,323,31
soc,al,1.0,324,31
soc,as,1.4375,324,31
soc,al,1.9375,325,31
soc,as,2.125,325,31
soc,al,1.1875,326,31
soc,as,0.875,326,31
soc,al,0.75,327,31
soc,as,0.625,327,31
soc,al,1.25,328,31
soc,as,2.875,328,31
soc,al,1.4375,329,31
soc,as,0.4375,329,31
soc,al,1.4500000000000002,330,32
soc,as,2.35,330,32
