participant,story,schema,1,2,3,4,5,6,7,8
030119_p1,31,Social,2,2,2,2,2,1,2,2
030119_p3,31,Location,1,2,2,2,2,2,1,2
030319_p3,31,Social,,,,,,,,
030519_p1,31,Location,2,0,0,2,0,0,1,2
030719_p1,31,Location,2,0,1,2,0,1,1,2
030719_p3,31,Social,2,0,0,2,1,2,2,2
031219_p1,31,Location,0,0,0,0,0,1,1,0
031319_p2,31,Location,1,0,1,2,0,0,0,2
031519_p2,31,Location,0,0,1,2,0,1,2,2
031519_p3,31,Location,1,0,0,2,1,1,1,2
