participant,story,schema,1,q1,a1,2,q2,a2,3,q3,a3,4,q4,a4,5,q5,a5,6,q6,a6,7,q7,a7,8,q8,a8
090419_p1,32,Location,2 hours,,,,,,4,,,,,,,,,"140,000",,,,,,Hanshake,,
090419_p3,32,Location,30 minutes ,,,Long line,,,"Not sure, b2 ",,,N2,,,Wine seller and wine distributor,,,800$,,,"Not sure, started with a d",,,Cheers,,
091619_p1,32,Social,5 hours,,,Someone ahead of them had a lot of metal on them,,,5,,,"2a and 2ab, first class",,,Jeff's was a ceo and william's was a cfo,,,$5 million dollars,,,Not sure,,,Bowing,,
092319_p2,32,Social,2 hours,,,They need a new cart with boxes,,,Don't remember,,,No idea,,,Wine buyer and sales associate,,,4000,,,East wines,,,Handshake,,
100419_p2,32,Social,2 hours,,,They are changing the bins out from full to empty,,,,,,Jeff is in 1a question,,,Jeff is a sales representative and william is a rep for clients,,,800 dollars,,,,,,Handshake,,
101619_p2,32,Social,,,,,,,,,,,,,,,,,,,,,,,,
