participant,story,schema,1,q1,a1,2,q2,a2,3,q3,a3,4,q4,a4,5,q5,a5,6,q6,a6,7,q7,a7,8,q8,a8
090419_p1,21,Social,Fancy,,,Small,,,,,,They like it a lot,,,2 years,,,White 1,,,Disert tray,,,Mombackslash,,
091619_p1,21,Social,It is very fancy and has a wonderful view of the pacific ocean,,,Velvet menus,,,Not sure,,,They loved it,,,Not sure,,,Not sure,,,In a box,,,His father,,
092319_p2,21,Location,"Beautifully, high ceilings, chandelier, white tablecloths",,,Small and cursive writing,,,Scallops and mussels,,,"They love it, especially the scallops that taste like the ocean",,,3 years,,,"3 diamonds, yellow",,,A cake,,,Her dad,,
092319_p3,21,Location,Velvet,,,Short,,,Alvira orders oysters and senna orders scallops,,,They like it very much. the best oysters she has had,,,Years,,,"2 or 3, yellow",,,A cake,,,Her father,,
092419_p1,21,Location,With nice view and chandlier,,,Small with chef special,,,Oyster,,,Love it,,,2 years,,,3 and yellow,,,In a box,,,Family,,
100419_p2,21,Location,"Beautifully, with high ceilings, huge widnows, beautiful chandeliers, white fancy tables and coverings, etc",,,They are written in fancy cursive by the chef with his specials for the night and no mention of prices,,,Senna orders oysters and she orders scallops,,,"They love it, they think it is absolutely amazing",,,5 years,,,"3 diamonds, canary yellow",,,A cake ,,,Her dad ,,
100719_p1,21,Social,"Beautiful, large arching windows overlooking the pacific, chandeliers, very romantic",,,"Small with no mention of price, cursive writing",,,Alvira orders the soup and senna orders meat,,,They like it a lot,,,Five years,,,"There are three, canary yellow",,,Cake,,,Her father,,
