participant,story,schema,1,q1,a1,2,q2,a2,3,q3,a3,4,q4,a4,5,q5,a5,6,q6,a6,7,q7,a7,8,q8,a8
082919_p2,34,Location,It is large and airy,,,They are in a history class and the lecture is about augustus.,,,They learn that augustus beautified athens. ,,,They have a paper due next class. ,,,Charlie is an investor and alma runs a startup,,,"The inital offer from alma is 56,000 and charlie counters with 28,000",,,Sun springs,,,With a hug,,
090419_p2,34,Social,There are long tables with outlets,,,Not sure ,,,Not sure ,,,Not sure ,,,Student ,,,$28000,,,Some firm,,,Charlie agrees to give her 56000,,
091819_p3,34,Location,"Large, 3 projectors and each row had a table with electrical outlets",,,"Archeology of rome, augustus' beautification of rome",,,Augustus wanted to beautify rome,,,Paper on thursday,,,"Ceo and founder, investor",,,2800,,,No idea,,,5600 paid in full,,
092319_p3,34,Location,Modern,,,"History class, augustus",,,Augustus,,,Not sure,,,Charlie is the head of some finance or investment club. alma has an new business idea,,,15000,,,The other club on campus,,,Handshake,,
092419_p1,34,Location,Big,,,History,,,About rome,,,Next week,,,"Investor, web designer",,,"28,000",,,Capital investor,,,Hug,,
161019_p1,34,Social,Bigbracketleft,,,Augustus,,,Augustus,,,No idea,,,Invester and web developer,,,No idea,,,No idea,,,No ide,,
