participant,story,schema,1,q1,a1,2,q2,a2,3,q3,a3,4,q4,a4,5,q5,a5,6,q6,a6,7,q7,a7,8,q8,a8
082919_p2,42,Location,David has three hours before his flight and anna has thirty five minutes,,,They are changing guards,,,They are walking to gate j13,,,Anna sits in the window in seat a12,,,David is holding his luggage ,,,Were you a gymnast,,,They will meet for dinner on tuesday ,,,It is five til 11,,
090419_p1,42,Social,30 min,,,,,,4,,,,,,Luggage cart,,,Are you ok,,,N/a,,,5 minutes before annas flight deparure,,
090419_p3,42,Social,15 minutes,,,Long lines,,,B17,,,N12 ,,,"Not sure, phone",,,Are you a gymnast ,,,"Next week when they return, getting dinner ",,,Night time,,
090619_p1,42,Social,"35 minutes for anna, 3 hours for david",,,Malfunction in the metal detectors,,,,,,Seat 7 in business class,,,Laptop,,,Were you a gymnastquestion,,,Next tuesday at 8 for dinner,,,10colon55,,
092319_p2,42,Location,He has three hours she has 35 minutes,,,Malfunction with the plane,,,J37,,,Anna sits at seat 7d,,,A bag,,,Were you a gymnastquestion,,,"When they are back, for dinner",,,1055,,
100719_p1,42,Social,"David has a few hours, anna has 35 minutes",,,There's something wrong with the metal detectors,,,A38,,,Anna sits in a window seat in business class,,,David is holding a newspaper,,,"He asks if she's a gymnast because that sure was a terrible tumble, and she says she actually was",,,Next tuesday for dinner,,,Five minutes before anna's flight,,
161019_p1,42,Social,Not much till annas,,,Idk,,,Idk,,,Idk,,,Nothign they just run into anna,,,Are you a gymnastquestion,,,Dinenr,,,5 minutes before her flight . maybe 3.55,,
101619_p2,42,Location,Not much,,,I don't remember,,,I don't remember,,,"Anna was in business class, i don't remember about david",,,I don't remember,,,Are you a gymnist,,,"The tuesday they return, and for a dinner date",,,I don't remember,,
