participant,story,schema,1,q1,a1,2,q2,a2,3,q3,a3,4,q4,a4,5,q5,a5,6,q6,a6,7,q7,a7,8,q8,a8
090419_p1,14,Social,Old,,,"Philosophy, the class is on aristotle",,,,,,,,,For a while,,,She doesnt want to do a long-distance relationship,,,He doesnt want to break up because he still loves her,,,She wants her alpaka sweater  back,,
090419_p3,14,Location,Large,,,"No idea, maybe history ",,,"No idea, world history",,,"No idea, next month",,,1 month ,,,She's going to study abroad,,,No he loves her,,,Maria wants her alpaca shirt ,,
091619_p1,14,Social,"It is big, with lots of students and a professor inside of it",,,"History, ancient egypt",,,I'm not sure,,,There is a quiz next class,,,5 months,,,Maria is going to study abroad and she does not think that the distance is a good thing,,,"No, he does not want to be broken up with. he loves her too much",,,Maria,,
092319_p2,14,Location,"Big, with a stage for the professor and 12 rows for students",,,"They are in intro to ancient philosophy, and they are talking about plato, aristotle, socrates, and doublequotechoicesdoublequote",,,"Categories, not choices!  but yes, they talk about categories and how we still use the same ideas from it.",,,"It's a final, and it's in a week",,,2 weeks,,,She is leaving for a semester abroad,,,"He does not want to break up, because he loves her, and he can visit her",,,Maria wants her alpaca sweater,,
100719_p1,14,Social,It has large windows to the ceilings and rows of desks,,,They're in a philosophy class and the day's lecture is about plato's categories,,,They learn that there are 10 categories for all objects in life,,,The next assignment is in a week,,,Maria has been thinking about it for a while,,,She's doing a study abroad program and wants to immerse herself in it and she'd be too busy,,,Henry doesn't want to break up and says that he can visit her and he loves her,,,Maria wants her alpaca sweater back from henry's dorm,,
101019_p1,14,Location,Don't remember ,,,Some philosphy class with aristotle,,,Aristotle,,,Midterm next week,,,Since study abroad decision,,,Study abroad for maria,,,No because he can visit and do long term,,,Maria wants her hoodie,,
101619_p2,14,Social,,,,,,,,,,,,,,,,,,,,,,,,
