corr,priming
0.0068740202984998765,np
-0.003874913823592748,np
0.0012234007549823474,np
0.0029805194872925575,np
-0.008352161990359042,np
0.005119801132585183,np
0.011146706850448105,np
0.027390502352158702,np
0.013155305881801164,np
-0.0011047110945995673,np
-0.0015007163742999125,np
-0.004459855632634545,np
0.050651704512768306,np
-0.012317411543126423,loc
0.005679229731482499,loc
0.012035653187146292,loc
0.01627069366512894,loc
-0.023329578575411843,loc
0.003291124414078381,loc
-0.0010736058003110503,loc
0.140293898212805,loc
0.004701691076609894,loc
0.022735288299404615,soc
-0.01753234164103179,soc
0.00408688649239784,soc
0.0006771236341339773,soc
0.011161370937398994,soc
0.01100794316538798,soc
0.006148186861875085,soc
0.03394437459318837,np
-0.010856410750953836,np
0.03326211534212245,np
0.031178216599297197,np
0.01592308511538844,np
-0.014353441385592596,np
0.07349342213222786,np
0.025362854028468274,np
0.030574557745270396,np
0.02477929903571462,np
0.022224355178581585,np
0.026171312983117173,np
0.019897602933368053,np
0.04172952942432467,np
0.06363090159131839,loc
0.026987249554629552,loc
0.002205996034161184,loc
0.2530232098081872,loc
0.04227448069277735,loc
0.020575513775162726,loc
0.03087732186250763,loc
0.049436429422327455,loc
0.02708878742382906,soc
0.02147759963981681,soc
0.03718319218333737,soc
0.022841006532718252,soc
0.010872098749702078,soc
0.007953737047314911,soc
0.026552939874787688,soc
-0.017950687595317195,np
-0.0007686028139830927,np
-0.0017315143879886455,np
0.026114735037194903,np
0.009481809354046473,np
0.0066093949233752055,np
-0.0027523069626002117,np
-0.021826173680745638,np
-0.003085042843126909,np
0.01299987732673223,np
-0.006484118740867339,np
0.007351925110728628,loc
0.02268138098529659,loc
-0.011979067159526399,loc
0.002580558145609168,loc
0.006494999336718581,loc
0.014891924603912277,loc
0.003363499717333235,loc
0.009860905346033667,loc
0.000570296547313851,loc
0.01156992354737577,soc
0.009196871860569488,soc
0.0230208368847029,soc
-0.0011354481411876957,soc
0.012459101352726628,soc
0.02809436513641991,np
0.023412943161327398,np
0.01796661173863011,np
0.0159853036649729,np
0.016761694954625574,np
0.009147701493026891,np
0.015645820981842064,np
0.014616445771131253,np
0.022043952631779416,loc
0.009546912631194992,loc
0.03883730931499653,loc
-0.006440345598078128,loc
0.0342075271748456,loc
0.008048931718060577,soc
0.02039440732522891,soc
0.020153298527586343,soc
-0.03124083699394262,soc
0.11620052043748431,soc
0.008646806346603787,soc
0.0577398555291177,soc
0.013016819269603989,soc
0.02694998712916759,soc
-0.00602971878976422,soc
-0.004314965155556236,np
0.004185839209957267,np
-0.025181795114338983,np
0.022328135345513558,np
0.010003242214724196,np
0.022738089640361652,np
0.013343624959544768,np
0.026401550998889585,np
0.00027589429285946346,loc
0.010280590836754531,loc
0.016835937990889494,loc
0.02376446322861023,loc
0.012915657898295714,loc
-0.02258115617282768,loc
0.014551876989715763,loc
0.050120294237685895,loc
0.021262950695566798,loc
0.018695214145962376,soc
0.00849041888268579,soc
0.01831175015269898,soc
0.012767715543360507,soc
0.01613003422676906,soc
0.037921454386746066,soc
0.021730464491867114,np
0.04601210797556223,np
0.0005127131168597107,np
0.008974828520774848,np
0.006218200999113787,np
0.013522382104203746,np
0.019526750988596787,np
0.04524757167569722,np
0.010334167106962944,np
0.0007521835616545766,np
0.022890653600042863,np
0.03561057258666496,loc
0.024958246766398413,loc
0.004504012269144112,loc
-0.0036394386715684996,loc
0.021073538553914483,loc
0.007069610824165457,loc
0.016996237751874088,soc
0.0031388445371785217,soc
0.005796957025850316,soc
0.016783343693342792,soc
0.02856021685654099,soc
0.03874754020344365,soc
0.02012850080788759,soc
0.007277808065494112,soc
0.043880830268493334,soc
0.017103065263887742,soc
-0.02335587852761251,soc
0.0012988939464022118,soc
0.015364636070065914,np
0.035263464991099294,np
0.01818617960347819,np
0.03311676972423029,np
0.02498753895089366,np
