priming,cor_type,cor, sub
np,loc_cor,0.0068740202984998765,1
np,soc_cor,0.010793012300916264,1
np,loc_cor,-0.003874913823592748,2
np,soc_cor,0.05380211580758208,2
np,loc_cor,0.0012234007549823474,3
np,soc_cor,0.005930276217238371,3
np,loc_cor,0.0029805194872925575,4
np,soc_cor,0.015841357891868243,4
np,loc_cor,-0.008352161990359042,5
np,soc_cor,0.011855068680308766,5
np,loc_cor,0.005119801132585183,6
np,soc_cor,0.020969360141395884,6
np,loc_cor,0.011146706850448105,7
np,soc_cor,0.01250199257536822,7
np,loc_cor,0.027390502352158702,8
np,soc_cor,0.008797243788027622,8
np,loc_cor,0.013155305881801164,9
np,soc_cor,0.0025292987157531388,9
np,loc_cor,-0.0011047110945995673,10
np,soc_cor,0.05786837237344112,10
np,loc_cor,-0.0015007163742999125,11
np,soc_cor,0.010437474544256605,11
np,loc_cor,-0.004459855632634545,12
np,soc_cor,0.044053376576846576,12
np,loc_cor,0.050651704512768306,13
np,soc_cor,-0.008952273899525279,13
loc,loc_cor,-0.012317411543126423,14
loc,soc_cor,0.04199093930200494,14
loc,loc_cor,0.005679229731482499,15
loc,soc_cor,0.01059151414995656,15
loc,loc_cor,0.012035653187146292,16
loc,soc_cor,0.019020649300580596,16
loc,loc_cor,0.01627069366512894,17
loc,soc_cor,0.012968789929806166,17
loc,loc_cor,-0.023329578575411843,18
loc,soc_cor,0.015296655728008632,18
loc,loc_cor,0.003291124414078381,19
loc,soc_cor,0.025057644636198785,19
loc,loc_cor,-0.0010736058003110503,20
loc,soc_cor,0.032702457666389725,20
loc,loc_cor,0.140293898212805,21
loc,soc_cor,-0.0233281824521335,21
loc,loc_cor,0.004701691076609894,22
loc,soc_cor,0.01742650807248788,22
soc,loc_cor,0.022735288299404615,23
soc,soc_cor,-0.0032780584570988496,23
soc,loc_cor,-0.01753234164103179,24
soc,soc_cor,0.015763097616672567,24
soc,loc_cor,0.00408688649239784,25
soc,soc_cor,-0.013330105082975002,25
soc,loc_cor,0.0006771236341339773,26
soc,soc_cor,0.057959313745315905,26
soc,loc_cor,0.011161370937398994,27
soc,soc_cor,0.010877324391657945,27
soc,loc_cor,0.01100794316538798,28
soc,soc_cor,0.015280527001815506,28
soc,loc_cor,0.006148186861875085,29
soc,soc_cor,0.016665573001641957,29
np,loc_cor,0.03394437459318837,30
np,soc_cor,0.005594923978258807,30
np,loc_cor,-0.010856410750953836,31
np,soc_cor,0.09747006367254779,31
np,loc_cor,0.03326211534212245,32
np,soc_cor,0.015682954013804394,32
np,loc_cor,0.031178216599297197,33
np,soc_cor,0.00922637531472504,33
np,loc_cor,0.01592308511538844,34
np,soc_cor,0.013127821218246042,34
np,loc_cor,-0.014353441385592596,35
np,soc_cor,0.03317005596392157,35
np,loc_cor,0.07349342213222786,36
np,soc_cor,-0.006114946187169847,36
np,loc_cor,0.025362854028468274,37
np,soc_cor,0.01657989906912016,37
np,loc_cor,0.030574557745270396,38
np,soc_cor,0.01322180698243123,38
np,loc_cor,0.02477929903571462,39
np,soc_cor,0.014154977174386288,39
np,loc_cor,0.022224355178581585,40
np,soc_cor,0.009489819217180407,40
np,loc_cor,0.026171312983117173,41
np,soc_cor,0.02104150484092497,41
np,loc_cor,0.019897602933368053,42
np,soc_cor,0.0296686527553426,42
np,loc_cor,0.04172952942432467,43
