boost,priming,Template
0.010427146753132907,np,loc
0.007590260797247278,np,soc
-0.0003217873689597174,np,loc
0.0505993643039131,np,soc
0.004776527209615378,np,loc
0.0027275247135693866,np,soc
0.006533645941925588,np,loc
0.012638606388199258,np,soc
-0.0047990355357260105,np,loc
0.00865231717663978,np,soc
0.008672927587218214,np,loc
0.0177666086377269,np,soc
0.014699833305081136,np,loc
0.009299241071699235,np,soc
0.03094362880679173,np,loc
0.005594492284358637,np,soc
0.016708432336434195,np,loc
-0.000673452787915846,np,soc
0.0024484153600334633,np,loc
0.054665620869772134,np,soc
0.002052410080333118,np,loc
0.00723472304058762,np,soc
-0.0009067291780015144,np,loc
0.04085062507317759,np,soc
0.054204830967401335,np,loc
-0.012155025403194264,np,soc
-0.008764285088493392,loc,loc
0.038788187798335955,loc,soc
0.00923235618611553,loc,loc
0.007388762646287576,loc,soc
0.015588779641779323,loc,loc
0.01581789779691161,loc,soc
0.01982382011976197,loc,loc
0.00976603842613718,loc,soc
-0.019776452120778814,loc,loc
0.012093904224339647,loc,soc
0.0068442508687114115,loc,loc
0.0218548931325298,loc,soc
0.00247952065432198,loc,loc
0.02949970616272074,loc,soc
0.14384702466743804,loc,loc
-0.026530933955802485,loc,soc
0.008254817531242924,loc,loc
0.014223756568818895,loc,soc
0.026288414754037644,soc,loc
-0.006480809960767834,soc,soc
-0.013979215186398759,soc,loc
0.012560346113003582,soc,soc
0.00764001294703087,soc,loc
-0.016532856586643985,soc,soc
0.004230250088767008,soc,loc
0.05475656224164692,soc,soc
0.014714497392032025,soc,loc
0.0076745728879889594,soc,soc
0.014561069620021011,soc,loc
0.012077775498146521,soc,soc
0.009701313316508116,soc,loc
0.013462821497972972,soc,soc
0.017755611171849452,np,loc
-0.003475465060106932,np,soc
-0.027045174172292755,np,loc
0.08839967463418205,np,soc
0.01707335192078353,np,loc
0.006612564975438655,np,soc
0.014989453177958276,np,loc
0.00015598627635930035,np,soc
-0.00026567830595048206,np,loc
0.004057432179880303,np,soc
-0.030542204806931518,np,loc
0.024099666925555832,np,soc
0.05730465871088894,np,loc
-0.015185335225535586,np,soc
0.009174090607129353,np,loc
0.00750951003075442,np,soc
0.014385794323931476,np,loc
0.00415141794406549,np,soc
0.0085905356143757,np,loc
0.005084588136020548,np,soc
0.006035591757242664,np,loc
0.0004194301788146681,np,soc
0.009982549561778253,np,loc
0.011971115802559232,np,soc
0.003708839512029133,np,loc
0.020598263716976862,np,soc
0.025540766002985747,np,loc
0.011897594760069664,np,soc
0.04744213816997947,loc,loc
0.0008135506876398978,loc,soc
0.010798486133290632,loc,loc
0.027594962413353664,loc,soc
-0.013982767387177736,loc,loc
0.00800942330596971,loc,soc
0.23683444638684828,loc,loc
-0.02901089416236545,loc,soc
0.026085717271438432,loc,loc
0.009928017290287305,loc,soc
0.004386750353823805,loc,loc
0.015145496928731478,loc,soc
0.01468855844116871,loc,loc
0.012352436694548427,loc,soc
0.03324766600098854,loc,loc
0.004207643253608045,loc,soc
0.010900024002490141,soc,loc
0.0007181097737160216,soc,soc
0.00528883621847789,soc,loc
0.0005329645478899976,soc,soc
0.02099442876199845,soc,loc
-0.005080156130183756,soc,soc
0.0066522431113793315,soc,loc
0.0013660896193692425,soc,soc
-0.005316664671636842,soc,loc
0.020283956229438932,soc,soc
-0.00823502637402401,soc,loc
-0.001956005993689224,soc,soc
0.010364176453448767,soc,loc
-0.006987081554839025,soc,soc
-0.01770311894056314,np,loc
0.005008870917495013,np,soc
-0.0005210341592290404,np,loc
-0.0018946588233443229,np,soc
-0.0014839457332345932,np,loc
0.018184707629877662,np,soc
0.026362303691948957,np,loc
0.029453816290026684,np,soc
0.009729378008800527,np,loc
0.002347778722354121,np,soc
0.006856963578129258,np,loc
0.002758868552262539,np,soc
-0.0025047383078461594,np,loc
0.0037882014782398034,np,soc
-0.021578605025991585,np,loc
0.015196425381491477,np,soc
-0.002837474188372857,np,loc
0.012218324008352429,np,soc
0.013247445981486283,np,loc
0.008601018039224702,np,soc
-0.006236550086113287,np,loc
0.01878908051661764,np,soc
0.00759949376548268,loc,loc
0.0012285313269709865,loc,soc
0.02292894964005064,loc,loc
0.010262519772386465,loc,soc
-0.011731498504772345,loc,loc
0.0034475286422689464,loc,soc
0.0028281268003632204,loc,loc
0.05309671987792332,loc,soc
0.006742567991472634,loc,loc
0.00589830383237689,loc,soc
0.01513949325866633,loc,loc
0.02608721968222691,loc,soc
0.0036110683720872875,loc,loc
0.04019644109384862,loc,soc
0.01010847400078772,loc,loc
