corr_value,WV_Type,Template
0.0068740202984998765,recall,loc
0.010793012300916264,recall,soc
-0.003874913823592748,recall,loc
0.05380211580758208,recall,soc
0.0012234007549823474,recall,loc
0.005930276217238371,recall,soc
0.0029805194872925575,recall,loc
0.015841357891868243,recall,soc
-0.008352161990359042,recall,loc
0.011855068680308766,recall,soc
0.005119801132585183,recall,loc
0.020969360141395884,recall,soc
0.011146706850448105,recall,loc
0.01250199257536822,recall,soc
0.027390502352158702,recall,loc
0.008797243788027622,recall,soc
0.013155305881801164,recall,loc
0.0025292987157531388,recall,soc
-0.0011047110945995673,recall,loc
0.05786837237344112,recall,soc
-0.0015007163742999125,recall,loc
0.010437474544256605,recall,soc
-0.004459855632634545,recall,loc
0.044053376576846576,recall,soc
0.050651704512768306,recall,loc
-0.008952273899525279,recall,soc
-0.012317411543126423,recall,loc
0.04199093930200494,recall,soc
0.005679229731482499,recall,loc
0.01059151414995656,recall,soc
0.012035653187146292,recall,loc
0.019020649300580596,recall,soc
0.01627069366512894,recall,loc
0.012968789929806166,recall,soc
-0.023329578575411843,recall,loc
0.015296655728008632,recall,soc
0.003291124414078381,recall,loc
0.025057644636198785,recall,soc
-0.0010736058003110503,recall,loc
0.032702457666389725,recall,soc
0.140293898212805,recall,loc
-0.0233281824521335,recall,soc
0.004701691076609894,recall,loc
0.01742650807248788,recall,soc
0.022735288299404615,recall,loc
-0.0032780584570988496,recall,soc
-0.01753234164103179,recall,loc
0.015763097616672567,recall,soc
0.00408688649239784,recall,loc
-0.013330105082975002,recall,soc
0.0006771236341339773,recall,loc
0.057959313745315905,recall,soc
0.011161370937398994,recall,loc
0.010877324391657945,recall,soc
0.01100794316538798,recall,loc
0.015280527001815506,recall,soc
0.006148186861875085,recall,loc
0.016665573001641957,recall,soc
0.03394437459318837,recall,loc
0.005594923978258807,recall,soc
-0.010856410750953836,recall,loc
0.09747006367254779,recall,soc
0.03326211534212245,recall,loc
0.015682954013804394,recall,soc
0.031178216599297197,recall,loc
0.00922637531472504,recall,soc
0.01592308511538844,recall,loc
0.013127821218246042,recall,soc
-0.014353441385592596,recall,loc
0.03317005596392157,recall,soc
0.07349342213222786,recall,loc
-0.006114946187169847,recall,soc
0.025362854028468274,recall,loc
0.01657989906912016,recall,soc
0.030574557745270396,recall,loc
0.01322180698243123,recall,soc
0.02477929903571462,recall,loc
0.014154977174386288,recall,soc
0.022224355178581585,recall,loc
0.009489819217180407,recall,soc
0.026171312983117173,recall,loc
0.02104150484092497,recall,soc
0.019897602933368053,recall,loc
0.0296686527553426,recall,soc
0.04172952942432467,recall,loc
0.020967983798435404,recall,soc
0.06363090159131839,recall,loc
0.009883939726005637,recall,soc
0.026987249554629552,recall,loc
0.036665351451719404,recall,soc
0.002205996034161184,recall,loc
0.01707981234433545,recall,soc
0.2530232098081872,recall,loc
-0.01994050512399971,recall,soc
0.04227448069277735,recall,loc
0.018998406328653045,recall,soc
0.020575513775162726,recall,loc
0.024215885967097218,recall,soc
0.03087732186250763,recall,loc
0.021422825732914166,recall,soc
0.049436429422327455,recall,loc
0.013278032291973784,recall,soc
0.02708878742382906,recall,loc
0.00978849881208176,recall,soc
0.02147759963981681,recall,loc
0.009603353586255737,recall,soc
0.03718319218333737,recall,loc
0.003990232908181983,recall,soc
0.022841006532718252,recall,loc
0.010436478657734982,recall,soc
0.010872098749702078,recall,loc
0.02935434526780467,recall,soc
0.007953737047314911,recall,loc
0.007114383044676515,recall,soc
0.026552939874787688,recall,loc
0.0020833074835267147,recall,soc
-0.017950687595317195,recall,loc
0.012303043903499091,recall,soc
-0.0007686028139830927,recall,loc
0.005399514162659756,recall,soc
-0.0017315143879886455,recall,loc
0.02547888061588174,recall,soc
0.026114735037194903,recall,loc
0.03674798927603076,recall,soc
0.009481809354046473,recall,loc
0.0096419517083582,recall,soc
0.0066093949233752055,recall,loc
0.010053041538266617,recall,soc
-0.0027523069626002117,recall,loc
0.011082374464243882,recall,soc
-0.021826173680745638,recall,loc
0.022490598367495555,recall,soc
-0.003085042843126909,recall,loc
0.019512496994356508,recall,soc
0.01299987732673223,recall,loc
0.01589519102522878,recall,soc
-0.006484118740867339,recall,loc
0.02608325350262172,recall,soc
0.007351925110728628,recall,loc
0.008522704312975065,recall,soc
0.02268138098529659,recall,loc
0.017556692758390544,recall,soc
-0.011979067159526399,recall,loc
0.010741701628273025,recall,soc
0.002580558145609168,recall,loc
0.060390892863927396,recall,soc
0.006494999336718581,recall,loc
0.013192476818380969,recall,soc
0.014891924603912277,recall,loc
0.03338139266823099,recall,soc
0.003363499717333235,recall,loc
0.0474906140798527,recall,soc
0.009860905346033667,recall,loc
0.0259638376732875,recall,soc
0.000570296547313851,recall,loc
0.01606384559457081,recall,soc
0.01156992354737577,recall,loc
0.01765110671749202,recall,soc
0.009196871860569488,recall,loc
0.01508980054794386,recall,soc
0.0230208368847029,recall,loc
0.014773682905932908,recall,soc
-0.0011354481411876957,recall,loc
0.013411819421544829,recall,soc
0.012459101352726628,recall,loc
0.007337792374862786,recall,soc
0.02809436513641991,recall,loc
0.02224550518097927,recall,soc
0.023412943161327398,recall,loc
0.01304181277013632,recall,soc
0.01796661173863011,recall,loc
0.023202454359986885,recall,soc
0.0159853036649729,recall,loc
0.03732484032570563,recall,soc
0.016761694954625574,recall,loc
0.028758519035379924,recall,soc
0.009147701493026891,recall,loc
0.023553953357993828,recall,soc
0.015645820981842064,recall,loc
0.014687408956481027,recall,soc
0.014616445771131253,recall,loc
0.01767725915511515,recall,soc
0.022043952631779416,recall,loc
0.03679090177540683,recall,soc
0.009546912631194992,recall,loc
0.021543195618272774,recall,soc
0.03883730931499653,recall,loc
0.011053864255536986,recall,soc
-0.006440345598078128,recall,loc
0.035663391562976786,recall,soc
0.0342075271748456,recall,loc
8.984138154542412e-05,recall,soc
0.008048931718060577,recall,loc
0.02353314988585714,recall,soc
0.02039440732522891,recall,loc
0.014187049548346254,recall,soc
0.020153298527586343,recall,loc
-0.003038982177827939,recall,soc
-0.03124083699394262,recall,loc
0.07242082711712014,recall,soc
0.11620052043748431,recall,loc
0.02999510011697506,recall,soc
0.008646806346603787,recall,loc
0.048787954050988944,recall,soc
0.0577398555291177,recall,loc
0.02120894067162497,recall,soc
0.013016819269603989,recall,loc
0.018056295286413435,recall,soc
0.02694998712916759,recall,loc
0.034476217607504106,recall,soc
-0.00602971878976422,recall,loc
-0.01220606967026932,recall,soc
-0.004314965155556236,recall,loc
0.036104632271296414,recall,soc
0.004185839209957267,recall,loc
-0.004134556382780087,recall,soc
-0.025181795114338983,recall,loc
0.06849524917589392,recall,soc
0.022328135345513558,recall,loc
0.0011458621559730978,recall,soc
0.010003242214724196,recall,loc
0.01100144485261571,recall,soc
0.022738089640361652,recall,loc
0.02784642136188838,recall,soc
0.013343624959544768,recall,loc
0.0034249666620893185,recall,soc
0.026401550998889585,recall,loc
0.010651233256380127,recall,soc
0.00027589429285946346,recall,loc
0.0025096624630423143,recall,soc
0.010280590836754531,recall,loc
0.005346573265223932,recall,soc
0.016835937990889494,recall,loc
0.009618591047071016,recall,soc
0.02376446322861023,recall,loc
0.004997613528887599,recall,soc
0.012915657898295714,recall,loc
0.004105897075588975,recall,soc
-0.02258115617282768,recall,loc
0.032247452959228415,recall,soc
0.014551876989715763,recall,loc
0.008094472787438236,recall,soc
0.050120294237685895,recall,loc
0.005700113109835899,recall,soc
0.021262950695566798,recall,loc
-0.0019384642094192716,recall,soc
0.018695214145962376,recall,loc
0.00760321282283096,recall,soc
0.00849041888268579,recall,loc
0.00798842783106778,recall,soc
0.01831175015269898,recall,loc
0.01643051302573947,recall,soc
0.012767715543360507,recall,loc
0.005781283703275105,recall,soc
0.01613003422676906,recall,loc
0.012592624491770232,recall,soc
0.037921454386746066,recall,loc
0.003809895136677402,recall,soc
0.021730464491867114,recall,loc
0.005594891101771547,recall,soc
0.04601210797556223,recall,loc
-0.00030690373443295816,recall,soc
0.0005127131168597107,recall,loc
0.004510129075573501,recall,soc
0.008974828520774848,recall,loc
0.012597883418281379,recall,soc
0.006218200999113787,recall,loc
0.04514673463059498,recall,soc
0.013522382104203746,recall,loc
-0.006300220788377849,recall,soc
0.019526750988596787,recall,loc
0.003125961296937137,recall,soc
