participant,story,schema,1,2,3,4,5,6,7,8
050119_p1,12,Social,No clue, take off shoes and walkthru metal detector,C40,No clue,A few weeks,Job,Cannot read question,Beatles poster and polaroid
050419_p1,12,Social,45 mins,Take off their heels ,,,A while,Calvin is intolerable,Calvin agrees that they should break up and is mad about the situation,Philosophy books
