participant,story,schema,1,2,3,4,5,6,7,8
050119_p1,32,Location,30 mins,Take off all metal,C40,No clue,No clue,Couple billion,No clue,Handshake
050419_p1,32,Location,2 hours,"Take off their belts, shoes, and wallets",20s,In business. jeff sits in 4a,One works for a regional vineyard and one works for a corporate wine distributor,A deal for samples to be sent in exchange for a potential contract. they do a $600 sample for $400.,,They shake hands
