participant,story,schema,1,2,3,4,5,6,7,8
061919_p1,14,Social,Small,Spanish. conjugation,How to breakup with someone ,There is a group project that maria and henry are working on together,Since the middle of the semester,The long distance nature of their relationship,No,They each ask back the 28k that was lent for the start up that their mutual friend had asked for
062019_p2,14,Location,Big!,A philosophy class. the lecture is on aristotle,Aristotles context on some sort of thing,Finals are the following week and they can drop by office hours if they have inspiration,A few weeks,She is moving to study abroad,No henry does not want to break up. he says that he can visit and make long distance work,Alpaca sweater
062519_p1,14,Location,"Rows of desks, that's all i can remember","Intro to ancient philosophy, today's lecture is about aristotle's categories","In the categories, aristotle divides up all of being into 10 categories","Final exam on tuesday, on the pre-socratics, plato, and aristotle",I'm not sure. maybe 2 weeks,She doesn't want to do long distance,"He doesn't want to break up, because he loves her, and he can go visit her while she's studying abroad",Maria wants her alpaca sweater back
062519_p2,14,Location,"Big, 15 rows",Ancient philosophy and they were talking about aristotle,How aristotle believes there are 10 categories of things and the word itself comes from him,They have a midterm next tuesday,1 week,She is going on a study abroad program for the semster,He does not want to break up. claims to love her and wants a long distance relationship saying that he can visit her,She wants her sweater
062619_p1,14,Social,Tiered,Intro to philosophy and today's is about aristotle,Aristotilean philosophy,Asessment next week,A week,She is studying abroad soon and wants to be present there,He doesn't want to break up because he loves her but understands if this is what she has to do,She wants her alpaca sweater back from his dorm room and they arrange the return
062719_p2,14,Social,Large with 15 rows,Science,Nothing,Test next tuesday,Months,Studying abroad and long distance,No because he loves her and feels they can work on it since he can go visit all the time,Sweater
062819_p1,14,Social,Large,Philosophy ,,,While,She's going to study abroad and long distance is hard,No he doesn't,Sweater
