participant,story,schema,1,2,3,4,5,6,7,8
061419_p1,44,Location,Theyre in a class on egypt,The students are in a class on egypt and the lecture is about embalming mummies,That one trains for years to become an embalmer and it takes 70 hours to embalm a body,Next wednesday. the next assignment is a report on embalming,He is holding a sticky note,Some ultra weak pick up line about mummies,After her next class. they will go on a walk.,Time for her next class
062019_p1,44,Location,Ample,"History, lecture is about egypt ",Egyptian mummies,Dont recall,A note that leon passed ariana,Leon wrote a question saying if she was at a particular place at a particular time,"They will meet, no occasion yet",After class
062419_p1,44,Location,No idea,"No idea, hmm maybe science, or history ",No idea,No idea,Leon is holding erasers for a chalk or dry erase board,Have you ever been to la,"Later on, after ariana's classes to go on a walk together",No idea
062519_p1,44,Social,"Blackboard on wheels, that's all i remember","History of ancient egypt, lecture is about mummification",That mummification had to be performed by people with years of training,"Friday, quiz about mummification","I don't know, maybe a backpack",Are you from la,For a walk tonight at 8pm,Noon
062519_p3,44,Social,"Tall, with big glass window in the middle",Anthropologhy course talking about mummies,Mummy tomb,No idea ...,Leon found ariana looked very similiar to a person he know,Leon asked if ariana knows him,8pm in front of a grocery store,Not sure
062719_p1,44,Social,No windows,History of egypt mummification,Mummification is misunderstoof,Reading for tomorrow,Notes,Are you from la,8pm tonight,Morning
062719_p3,44,Location,Tall with archs and big windows. a bit ancient,History class. about egyptian history and mummification,Mummification,On thursday,Books,Are you from laquestion,That night eight pm,At noon
062819_p1,44,Location,Large,,,,School books,Are you from laquestion,That night ,After class
