participant,story,schema,1,2,3,4,5,6,7,8
030119_p1,41,Location,2,1,2,2,2,2,2,2
030419_p1,41,Location,0,1,2,0,2,0,0,0
030419_p2,41,Social,2,0,1,2,2,2,1,1
030519_p2,41,Location,1,2,2,2,2,2,2,2
030519_p3,41,Location,0,1,2,2,2,2,2,2
030719_p1,41,Social,1,1,1,2,2,1,1,0
030719_p3,41,Location,2,1,2,2,2,2,2,2
030819_p2,41,Location,1,1,1,2,1,2,2,2
031219_p2,41,Location,1,2,2,2,2,2,2,0
031319_p4,41,Location,0,0,0,2,2,2,2,1
031519_p1,41,Location,0,0,2,2,2,2,2,2
